"iso3c","Dim2","lg","age_group"
"NER","40-44 years",33.03,"40-45"
"NER","45-49 years",28.78,"45-50"
"NER","50-54 years",24.67,"50-55"
"NER","55-59 years",20.815,"55-60"
"NER","60-64 years",17.19,"60-65"
"NER","65-69 years",13.95,"65-70"
"NER","70-74 years",11.02,"70-75"
"NER","75-79 years",8.61,"75-80"
"NER","80+",6.55,"80+"
"NGA","0-4",66.605,"0-5"
"NGA","5-9 years",65.68,"5-10"
"NGA","10-14 years",61.545,"10-15"
"NGA","15-19  years",57.01,"15-20"
"NGA","20-24 years",52.285,"20-25"
"NGA","25-29 years",47.615,"25-30"
"NGA","30-34 years",43.03,"30-35"
"NGA","35-39 years",38.56,"35-40"
"NGA","40-44 years",34.225,"40-45"
"NGA","45-49 years",30,"45-50"
"NGA","50-54 years",25.905,"50-55"
"NGA","55-59 years",21.975,"55-60"
"NGA","60-64 years",18.225,"60-65"
"NGA","65-69 years",14.8,"65-70"
"NGA","70-74 years",11.69,"70-75"
"NGA","75-79 years",9.085,"75-80"
"NGA","80+",6.91,"80+"
"NIC","0-4",75.085,"0-5"
"NIC","5-9 years",71.265,"5-10"
"NIC","10-14 years",66.35,"10-15"
"NIC","15-19  years",61.48,"15-20"
"NIC","20-24 years",56.655,"20-25"
"NIC","25-29 years",51.87,"25-30"
"NIC","30-34 years",47.065,"30-35"
"NIC","35-39 years",42.275,"35-40"
"NIC","40-44 years",37.525,"40-45"
"NIC","45-49 years",32.865,"45-50"
"NIC","50-54 years",28.36,"50-55"
"NIC","55-59 years",24.04,"55-60"
"NIC","60-64 years",19.955,"60-65"
"NIC","65-69 years",16.175,"65-70"
"NIC","70-74 years",12.725,"70-75"
"NIC","75-79 years",9.71,"75-80"
"NIC","80+",7.14,"80+"
"NLD","0-4",81.775,"0-5"
"NLD","5-9 years",77.105,"5-10"
"NLD","10-14 years",72.125,"10-15"
"NLD","15-19  years",67.155,"15-20"
"NLD","20-24 years",62.22,"20-25"
"NLD","25-29 years",57.295,"25-30"
"NLD","30-34 years",52.385,"30-35"
"NLD","35-39 years",47.49,"35-40"
"NLD","40-44 years",42.625,"40-45"
"NLD","45-49 years",37.81,"45-50"
"NLD","50-54 years",33.08,"50-55"
"NLD","55-59 years",28.475,"55-60"
"NLD","60-64 years",24.045,"60-65"
"NLD","65-69 years",19.845,"65-70"
"NLD","70-74 years",15.87,"70-75"
"NLD","75-79 years",12.15,"75-80"
"NLD","80+",8.75,"80+"
"NOR","0-4",82.605,"0-5"
"NOR","5-9 years",77.805,"5-10"
"NOR","10-14 years",72.825,"10-15"
"NOR","15-19  years",67.855,"15-20"
"NOR","20-24 years",62.92,"20-25"
"NOR","25-29 years",58.005,"25-30"
"NOR","30-34 years",53.11,"30-35"
"NOR","35-39 years",48.23,"35-40"
"NOR","40-44 years",43.365,"40-45"
"NOR","45-49 years",38.53,"45-50"
"NOR","50-54 years",33.76,"50-55"
"NOR","55-59 years",29.12,"55-60"
"NOR","60-64 years",24.615,"60-65"
"NOR","65-69 years",20.285,"65-70"
"NOR","70-74 years",16.21,"70-75"
"NOR","75-79 years",12.355,"75-80"
"NOR","80+",8.85,"80+"
"NPL","0-4",71.665,"0-5"
"NPL","5-9 years",68.04,"5-10"
"NPL","10-14 years",63.235,"10-15"
"NPL","15-19  years",58.375,"15-20"
"NPL","20-24 years",53.6,"20-25"
"NPL","25-29 years",48.875,"25-30"
"NPL","30-34 years",44.14,"30-35"
"NPL","35-39 years",39.435,"35-40"
"NPL","40-44 years",34.805,"40-45"
"NPL","45-49 years",30.29,"45-50"
"NPL","50-54 years",25.945,"50-55"
"NPL","55-59 years",21.83,"55-60"
"NPL","60-64 years",17.975,"60-65"
"NPL","65-69 years",14.475,"65-70"
"NPL","70-74 years",11.335,"70-75"
"NPL","75-79 years",8.64,"75-80"
"NPL","80+",6.385,"80+"
"NZL","0-4",81.94,"0-5"
"NZL","5-9 years",77.33,"5-10"
"NZL","10-14 years",72.36,"10-15"
"NZL","15-19  years",67.395,"15-20"
"NZL","20-24 years",62.515,"20-25"
"NZL","25-29 years",57.665,"25-30"
"NZL","30-34 years",52.82,"30-35"
"NZL","35-39 years",47.97,"35-40"
"NZL","40-44 years",43.155,"40-45"
"NZL","45-49 years",38.39,"45-50"
"NZL","50-54 years",33.735,"50-55"
"NZL","55-59 years",29.205,"55-60"
"NZL","60-64 years",24.795,"60-65"
"NZL","65-69 years",20.535,"65-70"
"NZL","70-74 years",16.445,"70-75"
"NZL","75-79 years",12.595,"75-80"
"NZL","80+",9.18,"80+"
"OMN","0-4",74.115,"0-5"
"OMN","5-9 years",69.895,"5-10"
"OMN","10-14 years",64.98,"10-15"
"OMN","15-19  years",60.06,"15-20"
"OMN","20-24 years",55.295,"20-25"
"OMN","25-29 years",50.54,"25-30"
"OMN","30-34 years",45.705,"30-35"
"OMN","35-39 years",40.88,"35-40"
"OMN","40-44 years",36.07,"40-45"
"OMN","45-49 years",31.305,"45-50"
"OMN","50-54 years",26.635,"50-55"
"OMN","55-59 years",22.125,"55-60"
"OMN","60-64 years",17.855,"60-65"
"OMN","65-69 years",13.945,"65-70"
"OMN","70-74 years",10.65,"70-75"
"OMN","75-79 years",7.845,"75-80"
"OMN","80+",5.605,"80+"
"PAK","0-4",68.465,"0-5"
"PAK","5-9 years",65.295,"5-10"
"PAK","10-14 years",60.585,"10-15"
"PAK","15-19  years",55.81,"15-20"
"PAK","20-24 years",51.125,"20-25"
"PAK","25-29 years",46.545,"25-30"
"PAK","30-34 years",42,"30-35"
"PAK","35-39 years",37.505,"35-40"
"PAK","40-44 years",33.09,"40-45"
"PAK","45-49 years",28.83,"45-50"
"PAK","50-54 years",24.715,"50-55"
"PAK","55-59 years",20.865,"55-60"
"PAK","60-64 years",17.28,"60-65"
"PAK","65-69 years",14.075,"65-70"
"PAK","70-74 years",11.17,"70-75"
"PAK","75-79 years",8.715,"75-80"
"PAK","80+",6.56,"80+"
"PAN","0-4",79.375,"0-5"
"PAN","5-9 years",75.54,"5-10"
"PAN","10-14 years",70.635,"10-15"
"PAN","15-19  years",65.745,"15-20"
"PAN","20-24 years",61.005,"20-25"
"PAN","25-29 years",56.275,"25-30"
"PAN","30-34 years",51.6,"30-35"
"PAN","35-39 years",46.895,"35-40"
"PAN","40-44 years",42.2,"40-45"
"PAN","45-49 years",37.525,"45-50"
"PAN","50-54 years",32.98,"50-55"
"PAN","55-59 years",28.535,"55-60"
"PAN","60-64 years",24.25,"60-65"
"PAN","65-69 years",20.17,"65-70"
"PAN","70-74 years",16.33,"70-75"
"PAN","75-79 years",12.85,"75-80"
"PAN","80+",9.7,"80+"
"PER","0-4",79.9,"0-5"
"PER","5-9 years",75.895,"5-10"
"PER","10-14 years",70.995,"10-15"
"PER","15-19  years",66.1,"15-20"
"PER","20-24 years",61.27,"20-25"
"PER","25-29 years",56.5,"25-30"
"PER","30-34 years",51.76,"30-35"
"PER","35-39 years",47.035,"35-40"
"PER","40-44 years",42.34,"40-45"
"PER","45-49 years",37.7,"45-50"
"PER","50-54 years",33.135,"50-55"
"PER","55-59 years",28.675,"55-60"
"PER","60-64 years",24.355,"60-65"
"PER","65-69 years",20.23,"65-70"
"PER","70-74 years",16.345,"70-75"
"PER","75-79 years",12.745,"75-80"
"PER","80+",9.55,"80+"
"PHL","0-4",71.17,"0-5"
"PHL","5-9 years",67.575,"5-10"
"PHL","10-14 years",62.7,"10-15"
"PHL","15-19  years",57.82,"15-20"
"PHL","20-24 years",53.01,"20-25"
"PHL","25-29 years",48.27,"25-30"
"PHL","30-34 years",43.575,"30-35"
"PHL","35-39 years",38.965,"35-40"
"PHL","40-44 years",34.39,"40-45"
"PHL","45-49 years",29.98,"45-50"
"PHL","50-54 years",25.69,"50-55"
"PHL","55-59 years",21.62,"55-60"
"PHL","60-64 years",17.705,"60-65"
"PHL","65-69 years",14.15,"65-70"
"PHL","70-74 years",11.055,"70-75"
"PHL","75-79 years",8,"75-80"
"PHL","80+",5.08,"80+"
"PNG","0-4",66.795,"0-5"
"PNG","5-9 years",63.405,"5-10"
"PNG","10-14 years",58.705,"10-15"
"PNG","15-19  years",53.905,"15-20"
"PNG","20-24 years",49.225,"20-25"
"PNG","25-29 years",44.65,"25-30"
"PNG","30-34 years",40.14,"30-35"
"PNG","35-39 years",35.73,"35-40"
"PNG","40-44 years",31.475,"40-45"
"PNG","45-49 years",27.41,"45-50"
"PNG","50-54 years",23.525,"50-55"
"PNG","55-59 years",19.87,"55-60"
"PNG","60-64 years",16.48,"60-65"
"PNG","65-69 years",13.43,"65-70"
"PNG","70-74 years",10.67,"70-75"
"PNG","75-79 years",8.305,"75-80"
"PNG","80+",6.255,"80+"
"POL","0-4",78.23,"0-5"
"POL","5-9 years",73.555,"5-10"
"POL","10-14 years",68.585,"10-15"
"POL","15-19  years",63.625,"15-20"
"POL","20-24 years",58.715,"20-25"
"POL","25-29 years",53.865,"25-30"
"POL","30-34 years",49.02,"30-35"
"POL","35-39 years",44.21,"35-40"
"POL","40-44 years",39.455,"40-45"
"POL","45-49 years",34.775,"45-50"
"POL","50-54 years",30.265,"50-55"
"POL","55-59 years",25.955,"55-60"
"POL","60-64 years",21.925,"60-65"
"POL","65-69 years",18.2,"65-70"
"POL","70-74 years",14.73,"70-75"
"POL","75-79 years",11.465,"75-80"
"POL","80+",8.495,"80+"
"PRK","0-4",72.49,"0-5"
"PRK","5-9 years",68.72,"5-10"
"PRK","10-14 years",63.855,"10-15"
"PRK","15-19  years",58.97,"15-20"
"PRK","20-24 years",54.185,"20-25"
"PRK","25-29 years",49.47,"25-30"
"PRK","30-34 years",44.75,"30-35"
"PRK","35-39 years",40.055,"35-40"
"PRK","40-44 years",35.43,"40-45"
"PRK","45-49 years",30.935,"45-50"
"PRK","50-54 years",26.625,"50-55"
"PRK","55-59 years",22.56,"55-60"
"PRK","60-64 years",18.785,"60-65"
"PRK","65-69 years",15.33,"65-70"
"PRK","70-74 years",12.2,"70-75"
"PRK","75-79 years",9.445,"75-80"
"PRK","80+",7.09,"80+"
"PRT","0-4",81.48,"0-5"
"PRT","5-9 years",76.78,"5-10"
"PRT","10-14 years",71.805,"10-15"
"PRT","15-19  years",66.835,"15-20"
"PRT","20-24 years",61.895,"20-25"
"PRT","25-29 years",56.98,"25-30"
"PRT","30-34 years",52.09,"30-35"
"PRT","35-39 years",47.205,"35-40"
"PRT","40-44 years",42.35,"40-45"
"PRT","45-49 years",37.6,"45-50"
"PRT","50-54 years",32.97,"50-55"
"PRT","55-59 years",28.51,"55-60"
"PRT","60-64 years",24.205,"60-65"
"PRT","65-69 years",20.07,"65-70"
"PRT","70-74 years",16.055,"70-75"
"PRT","75-79 years",12.27,"75-80"
"PRT","80+",8.875,"80+"
"PRY","0-4",76.2,"0-5"
"PRY","5-9 years",72.405,"5-10"
"PRY","10-14 years",67.465,"10-15"
"PRY","15-19  years",62.59,"15-20"
"PRY","20-24 years",57.815,"20-25"
"PRY","25-29 years",53.115,"25-30"
"PRY","30-34 years",48.405,"30-35"
"PRY","35-39 years",43.72,"35-40"
"PRY","40-44 years",39.07,"40-45"
"PRY","45-49 years",34.515,"45-50"
"PRY","50-54 years",30.085,"50-55"
"PRY","55-59 years",25.865,"55-60"
"PRY","60-64 years",21.825,"60-65"
"PRY","65-69 years",18.085,"65-70"
"PRY","70-74 years",14.6,"70-75"
"PRY","75-79 years",11.455,"75-80"
"PRY","80+",8.67,"80+"
"QAT","0-4",77.33,"0-5"
"QAT","5-9 years",72.83,"5-10"
"QAT","10-14 years",67.88,"10-15"
"QAT","15-19  years",62.925,"15-20"
"QAT","20-24 years",58.06,"20-25"
"QAT","25-29 years",53.175,"25-30"
"QAT","30-34 years",48.275,"30-35"
"QAT","35-39 years",43.375,"35-40"
"QAT","40-44 years",38.5,"40-45"
"QAT","45-49 years",33.635,"45-50"
"QAT","50-54 years",28.84,"50-55"
"QAT","55-59 years",24.105,"55-60"
"QAT","60-64 years",19.51,"60-65"
"QAT","65-69 years",15.135,"65-70"
"QAT","70-74 years",11.11,"70-75"
"QAT","75-79 years",7.585,"75-80"
"QAT","80+",4.48,"80+"
"ROU","0-4",75.605,"0-5"
"ROU","5-9 years",71.115,"5-10"
"ROU","10-14 years",66.165,"10-15"
"ROU","15-19  years",61.22,"15-20"
"ROU","20-24 years",56.335,"20-25"
"ROU","25-29 years",51.46,"25-30"
"ROU","30-34 years",46.625,"30-35"
"ROU","35-39 years",41.81,"35-40"
"ROU","40-44 years",37.065,"40-45"
"ROU","45-49 years",32.47,"45-50"
"ROU","50-54 years",28.055,"50-55"
"ROU","55-59 years",23.915,"55-60"
"ROU","60-64 years",20.1,"60-65"
"ROU","65-69 years",16.6,"65-70"
"ROU","70-74 years",13.215,"70-75"
"ROU","75-79 years",10.13,"75-80"
"ROU","80+",7.495,"80+"
"RUS","0-4",73.09,"0-5"
"RUS","5-9 years",68.51,"5-10"
"RUS","10-14 years",63.565,"10-15"
"RUS","15-19  years",58.63,"15-20"
"RUS","20-24 years",53.785,"20-25"
"RUS","25-29 years",49.015,"25-30"
"RUS","30-34 years",44.315,"30-35"
"RUS","35-39 years",39.79,"35-40"
"RUS","40-44 years",35.465,"40-45"
"RUS","45-49 years",31.29,"45-50"
"RUS","50-54 years",27.185,"50-55"
"RUS","55-59 years",23.225,"55-60"
"RUS","60-64 years",19.495,"60-65"
"RUS","65-69 years",16.08,"65-70"
"RUS","70-74 years",12.945,"70-75"
"RUS","75-79 years",10.06,"75-80"
"RUS","80+",7.665,"80+"
"RWA","0-4",69.89,"0-5"
"RWA","5-9 years",66.49,"5-10"
"RWA","10-14 years",61.805,"10-15"
"RWA","15-19  years",57.08,"15-20"
"RWA","20-24 years",52.35,"20-25"
"RWA","25-29 years",47.69,"25-30"
"RWA","30-34 years",43.055,"30-35"
"RWA","35-39 years",38.485,"35-40"
"RWA","40-44 years",34.015,"40-45"
"RWA","45-49 years",29.695,"45-50"
"RWA","50-54 years",25.535,"50-55"
"RWA","55-59 years",21.615,"55-60"
"RWA","60-64 years",17.905,"60-65"
"RWA","65-69 years",14.53,"65-70"
"RWA","70-74 years",11.465,"70-75"
"RWA","75-79 years",8.85,"75-80"
"RWA","80+",6.635,"80+"
"SAU","0-4",74.63,"0-5"
"SAU","5-9 years",70.135,"5-10"
"SAU","10-14 years",65.19,"10-15"
"SAU","15-19  years",60.245,"15-20"
"SAU","20-24 years",55.405,"20-25"
"SAU","25-29 years",50.665,"25-30"
"SAU","30-34 years",45.97,"30-35"
"SAU","35-39 years",41.315,"35-40"
"SAU","40-44 years",36.735,"40-45"
"SAU","45-49 years",32.275,"45-50"
"SAU","50-54 years",27.97,"50-55"
"SAU","55-59 years",23.875,"55-60"
"SAU","60-64 years",20.01,"60-65"
"SAU","65-69 years",16.41,"65-70"
"SAU","70-74 years",13.08,"70-75"
"SAU","75-79 years",10.1,"75-80"
"SAU","80+",7.5,"80+"
"SDN","0-4",71.09,"0-5"
"SDN","5-9 years",68.365,"5-10"
"SDN","10-14 years",63.725,"10-15"
"SDN","15-19  years",58.9,"15-20"
"SDN","20-24 years",54.12,"20-25"
"SDN","25-29 years",49.4,"25-30"
"SDN","30-34 years",44.705,"30-35"
"SDN","35-39 years",40.065,"35-40"
"SDN","40-44 years",35.485,"40-45"
"SDN","45-49 years",31.01,"45-50"
"SDN","50-54 years",26.675,"50-55"
"SDN","55-59 years",22.535,"55-60"
"SDN","60-64 years",18.62,"60-65"
"SDN","65-69 years",15.07,"65-70"
"SDN","70-74 years",11.85,"70-75"
"SDN","75-79 years",9.105,"75-80"
"SDN","80+",6.825,"80+"
"SEN","0-4",69.8,"0-5"
"SEN","5-9 years",66.675,"5-10"
"SEN","10-14 years",62.05,"10-15"
"SEN","15-19  years",57.32,"15-20"
"SEN","20-24 years",52.595,"20-25"
"SEN","25-29 years",47.95,"25-30"
"SEN","30-34 years",43.33,"30-35"
"SEN","35-39 years",38.775,"35-40"
"SEN","40-44 years",34.3,"40-45"
"SEN","45-49 years",29.96,"45-50"
"SEN","50-54 years",25.765,"50-55"
"SEN","55-59 years",21.79,"55-60"
"SEN","60-64 years",18.05,"60-65"
"SEN","65-69 years",14.685,"65-70"
"SEN","70-74 years",11.625,"70-75"
"SEN","75-79 years",9.02,"75-80"
"SEN","80+",6.78,"80+"
"SGP","0-4",83.25,"0-5"
"SGP","5-9 years",78.44,"5-10"
"SGP","10-14 years",73.465,"10-15"
"SGP","15-19  years",68.49,"15-20"
"SGP","20-24 years",63.565,"20-25"
"SGP","25-29 years",58.665,"25-30"
"SGP","30-34 years",53.785,"30-35"
"SGP","35-39 years",48.945,"35-40"
"SGP","40-44 years",44.105,"40-45"
"SGP","45-49 years",39.31,"45-50"
"SGP","50-54 years",34.585,"50-55"
"SGP","55-59 years",29.965,"55-60"
"SGP","60-64 years",25.5,"60-65"
"SGP","65-69 years",21.21,"65-70"
"SGP","70-74 years",17.1,"70-75"
"SGP","75-79 years",13.305,"75-80"
"SGP","80+",9.955,"80+"
"SLB","0-4",65.49,"0-5"
"SLB","5-9 years",61.67,"5-10"
"SLB","10-14 years",56.81,"10-15"
"SLB","15-19  years",51.92,"15-20"
"SLB","20-24 years",47.215,"20-25"
"SLB","25-29 years",42.71,"25-30"
"SLB","30-34 years",38.295,"30-35"
"SLB","35-39 years",33.98,"35-40"
"SLB","40-44 years",29.795,"40-45"
"SLB","45-49 years",25.83,"45-50"
"SLB","50-54 years",22.115,"50-55"
"SLB","55-59 years",18.665,"55-60"
"SLB","60-64 years",15.495,"60-65"
"SLB","65-69 years",12.61,"65-70"
"SLB","70-74 years",9.96,"70-75"
"SLB","75-79 years",7.63,"75-80"
"SLB","80+",5.605,"80+"
"SLE","0-4",65.05,"0-5"
"SLE","5-9 years",63.075,"5-10"
"SLE","10-14 years",58.91,"10-15"
"SLE","15-19  years",54.365,"15-20"
"SLE","20-24 years",49.735,"20-25"
"SLE","25-29 years",45.215,"25-30"
"SLE","30-34 years",40.775,"30-35"
"SLE","35-39 years",36.43,"35-40"
"SLE","40-44 years",32.195,"40-45"
"SLE","45-49 years",28.12,"45-50"
"SLE","50-54 years",24.16,"50-55"
"SLE","55-59 years",20.44,"55-60"
"SLE","60-64 years",16.935,"60-65"
"SLE","65-69 years",13.805,"65-70"
"SLE","70-74 years",10.96,"70-75"
"SLE","75-79 years",8.59,"75-80"
"SLE","80+",6.525,"80+"
"SLV","0-4",74.855,"0-5"
"SLV","5-9 years",70.84,"5-10"
"SLV","10-14 years",65.915,"10-15"
"SLV","15-19  years",61.05,"15-20"
"SLV","20-24 years",56.42,"20-25"
"SLV","25-29 years",51.84,"25-30"
"SLV","30-34 years",47.25,"30-35"
"SLV","35-39 years",42.855,"35-40"
"SLV","40-44 years",38.61,"40-45"
"SLV","45-49 years",34.33,"45-50"
"SLV","50-54 years",30.075,"50-55"
"SLV","55-59 years",25.945,"55-60"
"SLV","60-64 years",21.995,"60-65"
"SLV","65-69 years",18.2,"65-70"
"SLV","70-74 years",14.655,"70-75"
"SLV","75-79 years",11.5,"75-80"
"SLV","80+",8.215,"80+"
"SOM","0-4",60.06,"0-5"
"SOM","5-9 years",58.87,"5-10"
"SOM","10-14 years",54.83,"10-15"
"SOM","15-19  years",50.285,"15-20"
"SOM","20-24 years",45.75,"20-25"
"SOM","25-29 years",41.335,"25-30"
"SOM","30-34 years",36.955,"30-35"
"SOM","35-39 years",32.65,"35-40"
"SOM","40-44 years",28.51,"40-45"
"SOM","45-49 years",24.615,"45-50"
"SOM","50-54 years",20.97,"50-55"
"SOM","55-59 years",17.63,"55-60"
"SOM","60-64 years",14.615,"60-65"
"SOM","65-69 years",11.945,"65-70"
"SOM","70-74 years",9.525,"70-75"
"SOM","75-79 years",7.475,"75-80"
"SOM","80+",5.715,"80+"
"SRB","0-4",75.87,"0-5"
"SRB","5-9 years",71.255,"5-10"
"SRB","10-14 years",66.29,"10-15"
"SRB","15-19  years",61.335,"15-20"
"SRB","20-24 years",56.41,"20-25"
"SRB","25-29 years",51.515,"25-30"
"SRB","30-34 years",46.635,"30-35"
"SRB","35-39 years",41.8,"35-40"
"SRB","40-44 years",37.03,"40-45"
"SRB","45-49 years",32.33,"45-50"
"SRB","50-54 years",27.79,"50-55"
"SRB","55-59 years",23.52,"55-60"
"SRB","60-64 years",19.515,"60-65"
"SRB","65-69 years",15.855,"65-70"
"SRB","70-74 years",12.515,"70-75"
"SRB","75-79 years",9.425,"75-80"
"SRB","80+",6.77,"80+"
"SSD","0-4",66.05,"0-5"
"SSD","5-9 years",64.5,"5-10"
"SSD","10-14 years",60.35,"10-15"
"SSD","15-19  years",55.785,"15-20"
"SSD","20-24 years",51.105,"20-25"
"SSD","25-29 years",46.52,"25-30"
"SSD","30-34 years",42.04,"30-35"
"SSD","35-39 years",37.67,"35-40"
"SSD","40-44 years",33.43,"40-45"
"SSD","45-49 years",29.3,"45-50"
"SSD","50-54 years",25.28,"50-55"
"SSD","55-59 years",21.435,"55-60"
"SSD","60-64 years",17.77,"60-65"
"SSD","65-69 years",14.44,"65-70"
"SSD","70-74 years",11.415,"70-75"
"SSD","75-79 years",8.885,"75-80"
"SSD","80+",6.78,"80+"
"STP","0-4",71.12,"0-5"
"STP","5-9 years",67.585,"5-10"
"STP","10-14 years",62.785,"10-15"
"STP","15-19  years",57.965,"15-20"
"STP","20-24 years",53.185,"20-25"
"STP","25-29 years",48.46,"25-30"
"STP","30-34 years",43.715,"30-35"
"STP","35-39 years",39.005,"35-40"
"STP","40-44 years",34.37,"40-45"
"STP","45-49 years",29.87,"45-50"
"STP","50-54 years",25.55,"50-55"
"STP","55-59 years",21.475,"55-60"
"STP","60-64 years",17.675,"60-65"
"STP","65-69 years",14.225,"65-70"
"STP","70-74 years",11.15,"70-75"
"STP","75-79 years",8.515,"75-80"
"STP","80+",6.3,"80+"
"SUR","0-4",71.735,"0-5"
"SUR","5-9 years",67.865,"5-10"
"SUR","10-14 years",62.95,"10-15"
"SUR","15-19  years",58.05,"15-20"
"SUR","20-24 years",53.27,"20-25"
"SUR","25-29 years",48.47,"25-30"
"SUR","30-34 years",43.895,"30-35"
"SUR","35-39 years",39.415,"35-40"
"SUR","40-44 years",34.83,"40-45"
"SUR","45-49 years",30.34,"45-50"
"SUR","50-54 years",26.065,"50-55"
"SUR","55-59 years",21.875,"55-60"
"SUR","60-64 years",18.41,"60-65"
"SUR","65-69 years",14.98,"65-70"
"SUR","70-74 years",11.645,"70-75"
"SUR","75-79 years",8.805,"75-80"
"SUR","80+",6.28,"80+"
"SVK","0-4",78.14,"0-5"
"SVK","5-9 years",73.58,"5-10"
"SVK","10-14 years",68.62,"10-15"
"SVK","15-19  years",63.665,"15-20"
"SVK","20-24 years",58.76,"20-25"
"SVK","25-29 years",53.88,"25-30"
"SVK","30-34 years",49.01,"30-35"
"SVK","35-39 years",44.145,"35-40"
"SVK","40-44 years",39.355,"40-45"
"SVK","45-49 years",34.615,"45-50"
"SVK","50-54 years",30.06,"50-55"
"SVK","55-59 years",25.69,"55-60"
"SVK","60-64 years",21.6,"60-65"
"SVK","65-69 years",17.785,"65-70"
"SVK","70-74 years",14.12,"70-75"
"SVK","75-79 years",10.705,"75-80"
"SVK","80+",7.725,"80+"
"SVN","0-4",81.325,"0-5"
"SVN","5-9 years",76.5,"5-10"
"SVN","10-14 years",71.52,"10-15"
"SVN","15-19  years",66.545,"15-20"
"SVN","20-24 years",61.62,"20-25"
"SVN","25-29 years",56.715,"25-30"
"SVN","30-34 years",51.84,"30-35"
"SVN","35-39 years",46.98,"35-40"
"SVN","40-44 years",42.15,"40-45"
"SVN","45-49 years",37.345,"45-50"
"SVN","50-54 years",32.64,"50-55"
"SVN","55-59 years",28.09,"55-60"
"SVN","60-64 years",23.74,"60-65"
"SVN","65-69 years",19.66,"65-70"
"SVN","70-74 years",15.83,"70-75"
"SVN","75-79 years",12.205,"75-80"
"SVN","80+",8.91,"80+"
"SWE","0-4",82.4,"0-5"
"SWE","5-9 years",77.605,"5-10"
"SWE","10-14 years",72.625,"10-15"
"SWE","15-19  years",67.655,"15-20"
"SWE","20-24 years",62.725,"20-25"
"SWE","25-29 years",57.845,"25-30"
"SWE","30-34 years",52.99,"30-35"
"SWE","35-39 years",48.14,"35-40"
"SWE","40-44 years",43.285,"40-45"
"SWE","45-49 years",38.45,"45-50"
"SWE","50-54 years",33.68,"50-55"
"SWE","55-59 years",29,"55-60"
"SWE","60-64 years",24.465,"60-65"
"SWE","65-69 years",20.15,"65-70"
"SWE","70-74 years",16.05,"70-75"
"SWE","75-79 years",12.22,"75-80"
"SWE","80+",8.72,"80+"
"SWZ","0-4",59.515,"0-5"
"SWZ","5-9 years",56.18,"5-10"
"SWZ","10-14 years",51.68,"10-15"
"SWZ","15-19  years",46.87,"15-20"
"SWZ","20-24 years",42.36,"20-25"
"SWZ","25-29 years",38.075,"25-30"
"SWZ","30-34 years",34.005,"30-35"
"SWZ","35-39 years",30.29,"35-40"
"SWZ","40-44 years",26.905,"40-45"
"SWZ","45-49 years",23.78,"45-50"
"SWZ","50-54 years",20.77,"50-55"
"SWZ","55-59 years",17.895,"55-60"
"SWZ","60-64 years",15.06,"60-65"
"SWZ","65-69 years",12.335,"65-70"
"SWZ","70-74 years",9.815,"70-75"
"SWZ","75-79 years",7.575,"75-80"
"SWZ","80+",5.69,"80+"
"SYC","0-4",73.565,"0-5"
"SYC","5-9 years",69.605,"5-10"
"SYC","10-14 years",64.68,"10-15"
"SYC","15-19  years",59.765,"15-20"
"SYC","20-24 years",54.925,"20-25"
"SYC","25-29 years",50.205,"25-30"
"SYC","30-34 years",45.49,"30-35"
"SYC","35-39 years",40.845,"35-40"
"SYC","40-44 years",36.23,"40-45"
"SYC","45-49 years",31.8,"45-50"
"SYC","50-54 years",27.52,"50-55"
"SYC","55-59 years",23.41,"55-60"
"SYC","60-64 years",19.49,"60-65"
"SYC","65-69 years",15.845,"65-70"
"SYC","70-74 years",12.54,"70-75"
"SYC","75-79 years",9.43,"75-80"
"SYC","80+",7.075,"80+"
"SYR","0-4",73.11,"0-5"
"SYR","5-9 years",69.445,"5-10"
"SYR","10-14 years",64.755,"10-15"
"SYR","15-19  years",60.1,"15-20"
"SYR","20-24 years",55.29,"20-25"
"SYR","25-29 years",50.49,"25-30"
"SYR","30-34 years",45.71,"30-35"
"SYR","35-39 years",40.94,"35-40"
"SYR","40-44 years",36.205,"40-45"
"SYR","45-49 years",31.54,"45-50"
"SYR","50-54 years",27.05,"50-55"
"SYR","55-59 years",22.78,"55-60"
"SYR","60-64 years",18.75,"60-65"
"SYR","65-69 years",15.115,"65-70"
"SYR","70-74 years",11.77,"70-75"
"SYR","75-79 years",8.755,"75-80"
"SYR","80+",6.085,"80+"
"TCD","0-4",63.09,"0-5"
"TCD","5-9 years",62.22,"5-10"
"TCD","10-14 years",58.145,"10-15"
"TCD","15-19  years",53.74,"15-20"
"TCD","20-24 years",49.125,"20-25"
"TCD","25-29 years",44.61,"25-30"
"TCD","30-34 years",40.155,"30-35"
"TCD","35-39 years",35.795,"35-40"
"TCD","40-44 years",31.57,"40-45"
"TCD","45-49 years",27.515,"45-50"
"TCD","50-54 years",23.605,"50-55"
"TCD","55-59 years",19.95,"55-60"
"TCD","60-64 years",16.51,"60-65"
"TCD","65-69 years",13.44,"65-70"
"TCD","70-74 years",10.655,"70-75"
"TCD","75-79 years",8.355,"75-80"
"TCD","80+",6.365,"80+"
"TGO","0-4",66.465,"0-5"
"TGO","5-9 years",63.935,"5-10"
"TGO","10-14 years",59.38,"10-15"
"TGO","15-19  years",54.7,"15-20"
"TGO","20-24 years",50.06,"20-25"
"TGO","25-29 years",45.5,"25-30"
"TGO","30-34 years",40.975,"30-35"
